,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,phone,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,churn
119,1.71,5.0,5.0,1.0,1.0,0.0,3,0,0.0,1
120,7.75,4.8,5.0,1.13,0.0,25.0,1,1,100.0,0
121,0.75,4.0,4.0,1.0,1.0,0.0,1,0,100.0,1
122,2.77,4.7,4.1,1.0,0.0,0.0,5,1,61.9,0
124,5.97,5.0,5.0,1.0,0.0,0.0,4,0,0.0,1
125,3.24,3.7,4.0,1.17,1.0,33.3,0,0,33.3,1
126,4.63,5.0,5.0,1.08,0.0,33.3,0,0,66.7,1
128,3.02,4.9,4.9,1.0,1.0,0.0,7,0,100.0,1
129,2.89,5.0,4.7,1.34,1.0,12.5,4,1,37.5,0
130,10.44,5.0,5.0,1.31,1.0,50.0,0,0,50.0,0
132,1.69,4.8,4.3,1.0,1.0,0.0,0,1,33.3,1
133,2.18,5.0,3.8,1.18,0.0,25.0,0,0,12.5,0
134,3.82,4.7,5.0,1.08,0.0,5.6,6,0,55.6,0
135,2.79,5.0,5.0,1.0,0.0,0.0,1,0,100.0,1
136,2.99,4.8,3.5,1.0,0.0,0.0,3,1,77.8,0
137,3.75,4.5,4.1,1.0,0.0,0.0,1,1,51.6,0
138,4.6,5.0,5.0,1.0,0.0,0.0,0,0,75.0,1
141,4.39,5.0,4.3,1.0,0.0,0.0,2,1,80.0,1
142,1.62,4.0,5.0,1.0,1.0,0.0,0,1,100.0,0
143,14.79,4.7,4.8,1.08,0.0,16.7,4,1,83.3,0
145,10.29,4.9,4.3,1.0,0.0,0.0,4,0,100.0,0
146,10.53,5.0,5.0,1.0,0.0,0.0,0,1,0.0,1
147,1.62,4.3,4.0,1.0,1.0,0.0,2,0,100.0,1
148,7.05,5.0,4.4,1.0,1.0,0.0,2,0,100.0,1
149,1.95,4.5,4.7,1.03,0.0,12.5,3,0,62.5,0
151,2.84,5.0,4.3,1.0,0.0,0.0,3,1,100.0,0
154,2.26,4.7,4.0,1.0,1.0,0.0,1,0,33.3,0
155,12.46,5.0,5.0,1.0,1.0,0.0,0,0,75.0,1
157,8.73,5.0,4.8,1.0,0.0,0.0,1,1,75.0,0
159,12.66,5.0,4.0,1.0,0.0,0.0,0,1,100.0,1
163,2.03,5.0,4.0,1.0,0.0,0.0,0,1,100.0,0
165,7.12,4.7,5.0,1.0,1.0,0.0,1,1,100.0,1
166,5.58,5.0,5.0,1.0,1.0,0.0,1,0,0.0,1
167,4.57,4.8,5.0,1.29,1.0,33.3,1,0,66.7,1
169,11.93,5.0,4.5,1.0,0.0,0.0,2,0,100.0,1
170,1.59,5.0,2.0,1.0,1.0,0.0,1,0,0.0,1
171,1.71,4.7,5.0,1.0,0.0,0.0,0,1,100.0,0
173,2.55,4.5,4.5,1.0,1.0,0.0,5,0,75.0,1
177,4.32,5.0,5.0,1.15,1.0,20.0,0,0,100.0,0
179,5.17,4.8,4.0,1.1,0.0,20.0,2,0,20.0,1
180,7.75,4.0,5.0,1.0,0.0,0.0,0,0,60.0,1
181,11.59,5.0,5.0,1.6,1.0,20.0,5,1,40.0,1
182,1.41,5.0,5.0,1.0,0.0,0.0,0,0,100.0,1
183,9.19,5.0,5.0,1.0,1.0,0.0,4,0,100.0,1
184,2.46,5.0,5.0,1.0,1.0,0.0,0,0,100.0,1
185,5.27,4.8,4.4,1.17,1.0,16.7,0,1,66.7,0
186,2.0,4.7,4.3,1.0,0.0,0.0,5,0,100.0,1
187,7.14,4.8,5.0,1.0,0.0,0.0,1,0,40.0,0
188,3.7,4.5,5.0,1.0,1.0,0.0,9,1,80.0,0
190,1.76,5.0,5.0,1.0,1.0,0.0,1,0,100.0,1
191,2.99,4.8,5.0,1.06,1.0,9.5,6,1,83.3,0
192,4.4,5.0,5.0,1.0,0.0,0.0,1,0,100.0,1
195,6.29,5.0,3.5,1.0,1.0,0.0,4,0,75.0,1
196,2.1,5.0,5.0,1.0,0.0,0.0,0,0,100.0,0
198,3.0,5.0,5.0,1.0,1.0,0.0,1,0,100.0,1
199,11.46,4.7,4.0,1.0,0.0,0.0,2,1,66.7,0
200,2.6,4.6,4.1,1.13,0.0,8.3,4,1,50.0,0
201,2.37,4.4,4.9,1.04,1.0,2.7,1,0,70.3,0
203,15.07,5.0,5.0,1.0,0.0,0.0,0,0,100.0,1
204,1.88,5.0,5.0,1.0,0.0,0.0,0,1,0.0,0
206,5.66,4.7,4.9,1.0,0.0,0.0,4,0,64.7,0
207,2.99,4.9,4.9,1.05,0.0,10.9,12,1,57.8,0
209,8.43,5.0,5.0,1.0,1.0,0.0,2,0,42.9,0
212,1.26,3.0,5.0,1.0,1.0,0.0,3,0,66.7,1
214,9.79,5.0,4.7,1.0,0.0,0.0,1,1,83.3,0
218,8.0,5.0,5.0,1.0,0.0,0.0,0,0,100.0,0
219,2.46,4.2,3.8,1.0,1.0,0.0,7,1,73.1,1
220,4.75,4.3,5.0,1.0,0.0,0.0,0,1,75.0,0
221,3.13,5.0,5.0,2.5,0.0,100.0,1,0,0.0,1
222,2.55,5.0,4.7,1.0,0.0,0.0,5,0,50.0,1
223,3.63,5.0,5.0,1.0,1.0,0.0,1,1,100.0,1
224,4.25,5.0,5.0,1.0,0.0,0.0,0,0,100.0,1
226,4.21,4.5,4.7,1.0,1.0,0.0,0,0,62.5,0
227,3.18,4.4,3.8,1.11,0.0,13.0,7,1,65.2,0
228,26.5,5.0,5.0,1.0,0.0,0.0,1,1,100.0,1
229,8.53,5.0,3.0,1.0,0.0,0.0,0,0,0.0,1
230,2.48,4.9,4.7,1.0,0.0,0.0,8,1,56.5,0
231,2.39,4.0,5.0,1.0,1.0,0.0,0,1,0.0,1
233,2.14,4.3,4.8,1.0,1.0,0.0,4,0,27.3,0
234,3.97,4.6,4.6,1.19,0.0,37.5,1,0,37.5,1
236,9.74,5.0,4.0,1.0,1.0,0.0,5,1,0.0,0
237,17.86,5.0,4.0,1.0,0.0,0.0,0,1,100.0,1
238,3.74,4.7,4.5,1.02,1.0,6.3,4,0,31.3,0
240,1.07,5.0,5.0,1.0,0.0,0.0,3,0,66.7,1
243,3.75,5.0,5.0,1.0,0.0,0.0,0,1,100.0,0
245,7.71,4.8,4.9,1.01,0.0,2.9,15,1,65.9,0
247,2.87,5.0,5.0,1.05,0.0,20.0,1,0,30.0,0
248,2.55,4.8,4.9,1.12,0.0,14.4,39,1,78.3,1
249,13.47,5.0,4.0,1.0,1.0,0.0,1,0,0.0,1
250,2.58,5.0,5.0,1.05,1.0,10.0,0,1,70.0,0
253,5.81,4.8,3.1,1.02,0.0,2.6,16,0,100.0,0
256,7.54,4.4,5.0,1.0,0.0,0.0,0,0,40.0,1
258,13.1,5.0,5.0,1.0,0.0,0.0,0,0,100.0,1
259,4.31,5.0,5.0,1.0,0.0,0.0,1,0,100.0,1
260,1.64,5.0,4.8,1.0,0.0,0.0,2,0,50.0,1
261,2.85,5.0,4.7,1.02,1.0,10.0,4,0,60.0,1
262,2.63,4.8,5.0,1.06,1.0,25.0,0,0,75.0,0
263,6.3,5.0,5.0,1.0,1.0,0.0,1,0,0.0,1
264,5.32,4.8,4.6,1.15,0.0,20.0,3,0,100.0,1
265,18.4,5.0,5.0,1.0,0.0,0.0,0,0,100.0,1
266,5.63,4.2,5.0,1.0,0.0,0.0,0,0,100.0,0
268,4.57,5.0,5.0,1.0,0.0,0.0,1,1,100.0,0
269,2.38,5.0,5.0,1.08,0.0,33.3,0,0,50.0,1
270,1.51,4.0,3.3,1.0,0.0,0.0,1,1,0.0,1
271,1.22,5.0,5.0,1.0,0.0,0.0,2,0,50.0,1
273,4.29,4.7,5.0,1.0,0.0,0.0,0,0,100.0,1
274,7.52,4.7,3.7,1.0,0.0,0.0,1,0,33.3,1
276,2.47,4.7,4.5,1.2,0.0,21.4,23,1,71.4,1
278,3.68,3.8,5.0,1.13,0.0,12.5,2,0,50.0,1
279,2.61,4.8,4.4,1.0,1.0,0.0,1,0,81.3,0
280,3.36,4.2,3.4,1.4,0.0,20.0,4,0,20.0,1
281,4.31,5.0,2.0,1.0,0.0,0.0,0,0,50.0,1
282,2.39,4.0,5.0,1.0,0.0,0.0,0,0,0.0,1
283,9.89,5.0,4.0,1.0,0.0,0.0,0,1,100.0,0
284,19.95,5.0,3.0,1.0,1.0,0.0,1,0,0.0,1
285,12.35,5.0,5.0,1.0,1.0,0.0,0,0,50.0,1
286,1.87,5.0,4.7,1.0,1.0,0.0,4,1,100.0,1
287,8.43,5.0,5.0,1.0,0.0,0.0,1,0,100.0,1
288,4.16,5.0,5.0,1.0,0.0,0.0,1,0,66.7,0
289,5.4,4.8,4.2,1.08,0.0,5.3,3,1,0.0,0
290,5.86,5.0,5.0,1.0,1.0,0.0,5,0,40.0,1
292,2.38,4.5,5.0,1.0,0.0,0.0,0,0,0.0,0
293,15.51,4.0,4.0,1.0,0.0,0.0,0,0,100.0,0
294,5.37,5.0,4.7,1.0,1.0,0.0,1,1,37.5,0
295,1.65,5.0,5.0,1.0,0.0,0.0,2,0,75.0,0
296,2.85,4.6,4.5,1.19,0.0,22.5,6,0,85.0,0
297,2.94,4.5,2.0,1.0,0.0,0.0,3,0,66.7,0
299,26.21,5.0,5.0,1.0,1.0,0.0,0,0,50.0,0
300,1.88,4.9,4.8,1.39,0.0,33.3,7,0,66.7,1
302,2.68,5.0,5.0,1.38,0.0,50.0,0,0,0.0,1
303,7.97,5.0,5.0,1.0,0.0,0.0,6,0,100.0,1
305,1.55,5.0,5.0,1.0,0.0,0.0,1,1,100.0,1
306,5.22,5.0,5.0,1.0,0.0,0.0,1,0,0.0,1
308,3.2,4.8,4.9,1.16,0.0,20.8,9,1,87.5,0
309,3.33,4.3,4.4,1.06,0.0,11.8,1,0,52.9,0
310,0.81,5.0,5.0,1.0,0.0,0.0,2,1,100.0,1
311,7.65,5.0,5.0,1.0,0.0,0.0,0,1,100.0,1
312,4.73,4.8,4.4,1.13,0.0,13.2,5,1,47.4,0
313,7.49,5.0,4.5,1.0,1.0,0.0,0,0,0.0,1
315,3.15,4.9,5.0,1.19,0.0,22.2,1,1,77.8,0
317,3.27,3.0,4.0,1.0,1.0,0.0,2,0,100.0,1
318,2.18,5.0,5.0,1.0,1.0,0.0,1,1,100.0,1
319,2.71,5.0,4.0,1.0,0.0,0.0,0,0,0.0,1
320,4.04,4.3,4.0,1.0,0.0,0.0,0,0,100.0,1
321,3.24,5.0,5.0,1.0,0.0,0.0,2,0,66.7,0
323,3.38,4.9,5.0,1.08,1.0,25.0,4,0,75.0,0
324,4.84,4.9,4.6,1.07,0.0,10.5,2,1,47.4,0
325,1.93,5.0,5.0,1.0,0.0,0.0,3,0,100.0,1
327,7.2,4.7,5.0,1.12,0.0,20.0,3,1,60.0,0
328,3.92,4.8,4.5,1.08,0.0,8.3,0,0,83.3,1
329,19.53,5.0,4.3,1.0,0.0,0.0,0,1,100.0,0
330,14.01,5.0,5.0,1.0,0.0,0.0,0,0,100.0,1
331,5.36,4.8,4.0,1.18,0.0,27.3,4,0,54.5,0
332,4.74,4.3,4.3,1.33,0.0,33.3,0,0,0.0,1
333,2.78,4.8,4.8,1.08,0.0,13.5,12,1,62.2,0
334,3.19,4.6,5.0,1.13,0.0,12.0,5,1,68.0,0
335,8.24,5.0,4.5,1.0,1.0,0.0,1,0,100.0,1
336,7.74,5.0,5.0,1.0,0.0,0.0,1,0,66.7,1
337,2.11,4.9,5.0,1.21,1.0,28.6,3,0,14.3,0
338,0.61,5.0,4.0,1.0,0.0,0.0,1,0,33.3,1
340,1.77,4.4,5.0,1.3,0.0,20.0,3,0,20.0,0
342,3.61,4.9,4.6,1.28,0.0,12.5,0,0,75.0,1
343,2.96,5.0,5.0,1.0,0.0,0.0,1,1,0.0,1
344,3.28,5.0,5.0,1.0,1.0,0.0,1,0,0.0,1
345,5.89,5.0,4.7,1.1,0.0,16.7,4,1,75.0,0
346,0.71,4.5,4.5,1.0,0.0,0.0,2,0,50.0,1
347,2.43,4.9,4.9,1.02,0.0,6.3,10,0,53.1,0
348,4.98,5.0,5.0,1.0,0.0,0.0,0,0,100.0,1
349,3.08,4.9,4.9,1.25,1.0,30.8,8,0,15.4,1
351,16.94,4.8,4.9,1.0,0.0,0.0,1,1,76.2,0
352,8.45,5.0,5.0,1.0,0.0,0.0,2,0,75.0,1
353,5.0,5.0,5.0,1.13,0.0,16.7,2,1,50.0,0
354,2.53,5.0,5.0,1.0,0.0,0.0,1,0,100.0,1
355,2.19,5.0,5.0,1.0,1.0,0.0,1,1,100.0,1
356,1.36,4.0,4.0,1.67,0.0,33.3,0,1,100.0,1
357,2.53,4.8,4.9,1.08,0.0,15.4,3,1,38.5,0
358,6.4,4.7,4.9,1.0,0.0,0.0,3,1,88.2,0
359,3.68,4.9,5.0,1.22,0.0,33.3,2,0,55.6,1
360,3.66,5.0,5.0,1.0,0.0,0.0,1,0,100.0,1
361,12.65,5.0,4.7,1.0,0.0,0.0,3,1,100.0,1
362,28.44,5.0,5.0,1.0,1.0,0.0,2,1,100.0,1
364,1.71,5.0,4.0,1.0,0.0,0.0,1,0,50.0,1
365,5.48,5.0,3.0,1.0,0.0,0.0,2,0,100.0,1
368,3.05,4.9,5.0,1.36,1.0,11.1,1,0,55.6,0
369,1.38,5.0,5.0,1.0,0.0,0.0,1,0,0.0,1
370,3.07,4.7,4.0,1.0,1.0,0.0,0,1,28.6,1
371,12.6,5.0,5.0,1.0,0.0,0.0,0,1,100.0,1
372,9.81,3.0,4.0,1.0,1.0,0.0,1,0,100.0,0
374,3.14,4.9,4.8,1.11,0.0,9.4,24,1,100.0,1
375,2.42,5.0,4.7,1.09,1.0,18.2,6,0,68.2,0
376,9.57,5.0,5.0,1.0,1.0,0.0,1,1,100.0,1
377,5.52,4.8,4.8,1.0,0.0,0.0,1,0,75.0,0
378,2.89,5.0,5.0,1.25,0.0,66.7,3,0,33.3,1
379,5.09,5.0,3.0,1.0,0.0,0.0,1,1,100.0,1
380,7.22,5.0,5.0,1.0,0.0,0.0,0,0,0.0,0
381,4.17,5.0,4.0,1.0,0.0,0.0,0,1,100.0,0
382,9.27,5.0,5.0,1.0,1.0,0.0,0,1,100.0,1
383,2.63,4.6,4.9,1.18,0.0,9.1,1,1,63.6,1
384,1.6,5.0,5.0,1.21,0.0,16.7,5,0,16.7,1
385,10.96,5.0,3.0,2.0,0.0,50.0,0,1,100.0,1
386,1.6,4.7,5.0,1.55,1.0,20.0,3,1,40.0,1
388,1.38,4.8,3.8,1.13,0.0,25.0,0,0,75.0,1
389,5.37,5.0,5.0,1.0,0.0,0.0,1,0,0.0,1
390,4.32,5.0,5.0,1.0,0.0,0.0,1,0,100.0,1
391,7.61,5.0,4.7,1.0,0.0,0.0,1,1,50.0,1
392,9.6,5.0,5.0,1.2,0.0,20.0,1,0,60.0,0
393,1.49,4.7,4.4,1.09,1.0,16.7,12,0,66.7,1
395,7.85,5.0,5.0,1.0,0.0,0.0,0,0,40.0,1
396,3.19,5.0,5.0,1.0,0.0,0.0,1,0,100.0,1
397,3.35,4.8,4.3,1.03,0.0,8.3,1,1,69.4,0
398,9.01,5.0,4.3,1.0,0.0,0.0,7,1,28.6,1
399,13.26,5.0,5.0,1.0,0.0,0.0,1,0,0.0,1
400,4.61,5.0,5.0,1.0,1.0,0.0,0,1,0.0,1
401,3.47,4.8,4.9,1.11,0.0,18.5,4,1,29.6,0
402,9.46,4.3,4.0,1.0,1.0,0.0,4,1,100.0,1
404,10.04,4.7,4.3,1.11,0.0,9.5,2,0,71.4,0
405,3.51,5.0,4.0,1.0,0.0,0.0,0,0,50.0,1
406,5.56,5.0,4.3,1.58,0.0,33.3,0,0,66.7,1
407,3.97,5.0,4.8,1.0,0.0,0.0,1,1,60.0,0
408,4.04,4.5,5.0,1.2,0.0,9.1,3,1,54.5,0
409,1.88,5.0,4.0,1.0,0.0,0.0,0,1,100.0,0
410,2.43,2.0,5.0,1.0,0.0,0.0,2,0,0.0,1
412,7.94,5.0,4.0,1.0,0.0,0.0,0,0,100.0,1
414,4.58,4.7,4.5,1.0,1.0,0.0,3,0,33.3,1
416,1.31,4.9,4.3,1.08,0.0,16.7,7,0,16.7,1
417,7.88,5.0,4.8,1.0,0.0,0.0,3,1,100.0,1
418,3.45,4.8,4.6,1.07,0.0,9.1,1,1,54.5,0
419,19.32,5.0,5.0,1.0,0.0,0.0,1,1,100.0,1
421,3.5,5.0,3.0,1.0,0.0,0.0,2,0,100.0,1
422,4.66,5.0,5.0,1.0,0.0,0.0,0,0,33.3,0
423,3.79,4.7,4.6,1.12,1.0,14.0,13,0,72.1,0
425,4.69,4.9,4.7,1.11,0.0,7.1,3,0,35.7,1
426,3.5,5.0,5.0,1.08,0.0,33.3,2,0,100.0,1
427,1.26,5.0,5.0,1.0,1.0,0.0,1,0,100.0,1
428,1.48,5.0,5.0,1.38,0.0,50.0,2,0,100.0,1
429,0.08,1.0,5.0,1.0,0.0,0.0,1,0,100.0,1
430,1.82,5.0,4.4,1.25,0.0,22.2,0,1,77.8,0
431,7.2,5.0,4.8,1.01,1.0,4.5,12,0,77.3,1
433,5.24,4.8,4.4,1.04,1.0,16.7,0,1,66.7,0
434,1.84,3.0,5.0,1.0,0.0,0.0,1,0,0.0,1
435,1.91,4.8,4.8,1.11,0.0,16.7,10,0,48.9,0
436,6.73,5.0,4.3,1.0,0.0,0.0,0,0,33.3,0
437,1.41,5.0,5.0,1.0,1.0,0.0,2,0,100.0,0
439,5.27,5.0,4.3,1.0,1.0,0.0,6,0,100.0,0
440,1.43,4.9,5.0,1.2,0.0,21.4,0,0,50.0,0
441,2.58,4.9,3.8,1.1,0.0,17.6,2,1,88.2,0
442,1.26,5.0,4.5,1.0,0.0,0.0,0,0,0.0,1
444,4.49,4.8,4.6,1.1,0.0,15.4,7,0,46.2,0
446,13.14,4.5,5.0,1.0,0.0,0.0,2,0,0.0,1
448,2.87,4.5,2.8,1.0,0.0,0.0,1,0,18.2,0
449,2.73,4.9,4.8,1.03,0.0,7.4,9,0,70.4,0
450,4.32,4.8,4.9,1.07,0.0,8.3,7,0,62.5,0
451,2.28,4.9,4.9,1.24,0.0,15.4,7,0,42.3,0
454,16.31,5.0,5.0,1.0,0.0,0.0,1,1,100.0,0
455,5.61,4.2,4.2,1.04,0.0,16.7,6,0,33.3,1
456,3.79,5.0,5.0,1.0,0.0,0.0,1,0,0.0,1
457,7.79,5.0,5.0,1.0,1.0,0.0,0,1,100.0,1
458,1.54,3.4,4.5,1.0,0.0,0.0,2,0,100.0,1
460,1.53,4.8,4.7,1.2,0.0,40.0,0,0,40.0,0
461,4.24,5.0,5.0,1.0,1.0,0.0,1,0,100.0,1
462,4.49,5.0,5.0,1.0,1.0,0.0,0,0,0.0,1
463,3.01,4.9,5.0,1.0,0.0,0.0,9,1,64.1,0
465,3.27,5.0,4.3,1.0,0.0,0.0,4,1,20.0,0
466,6.75,4.9,4.9,1.0,0.0,0.0,4,1,73.3,0
467,2.41,5.0,4.0,1.0,0.0,0.0,0,0,100.0,1
470,3.53,5.0,5.0,1.0,1.0,0.0,1,0,100.0,1
471,6.45,4.6,4.5,1.07,0.0,11.8,2,1,82.4,0
472,1.78,5.0,5.0,1.0,1.0,0.0,0,0,100.0,1
473,2.06,4.8,4.3,1.13,0.0,30.8,1,0,38.5,0
474,8.83,4.3,5.0,1.0,0.0,0.0,4,1,50.0,0
475,17.65,5.0,5.0,1.5,0.0,100.0,1,0,100.0,1
476,5.77,3.5,1.0,1.0,0.0,0.0,0,0,100.0,1
477,1.55,5.0,4.0,1.5,1.0,50.0,0,0,0.0,1
478,5.46,5.0,5.0,1.0,0.0,0.0,0,1,100.0,0
479,2.36,5.0,4.0,1.33,0.0,33.3,0,0,0.0,0
480,3.12,5.0,5.0,1.0,1.0,0.0,0,0,100.0,1
481,4.07,4.7,5.0,1.06,0.0,13.3,13,1,71.7,0
482,2.53,4.6,4.7,1.1,0.0,15.8,13,1,50.9,0
483,0.82,5.0,5.0,1.0,1.0,0.0,1,0,100.0,1
484,17.68,5.0,5.0,1.0,0.0,0.0,0,0,100.0,1
485,8.11,4.7,3.0,1.09,0.0,12.5,1,1,12.5,0
486,4.97,5.0,5.0,1.0,0.0,0.0,1,0,66.7,1
488,2.37,4.5,3.4,1.0,0.0,0.0,0,0,69.2,0
490,2.18,5.0,5.0,1.0,0.0,0.0,2,1,66.7,0
492,4.18,4.0,4.0,1.0,0.0,0.0,0,1,0.0,1
495,4.41,4.8,3.8,1.0,1.0,0.0,6,0,100.0,1
497,3.32,4.9,4.9,1.08,0.0,11.1,3,1,88.9,1
498,5.99,4.7,4.4,1.0,0.0,0.0,0,0,80.0,0
